"Africa/Abidjan-Accra-Bamako-Banjul-Bissau-Conakry-Dakar-Freetown-Lome-Monrovia-Nouakchott-Ouagadougou-Sao_Tome-Timbuktu","GMT0"
"Africa/Addis_Ababa-Asmara-Asmera-Dar_es_Salaam-Djibouti-Kampala-Mogadishu-Nairobi","EAT-3"
"Africa/Algiers-Tunis","CET-1"
"Africa/Bangui-Brazzaville-Douala-Kinshasa-Lagos-Libreville-Luanda-Malabo-Ndjamena-Niamey-Porto-Novo","WAT-1"
"Africa/Blantyre-Bujumbura-Gaborone-Harare-Juba-Khartoum-Kigali-Lubumbashi-Lusaka-Maputo-Windhoek","CAT-2"
"Africa/Cairo","EET-2EEST,M4.5.5/0,M10.5.4/24"
"Africa/Casablanca-El_Aaiun","<+01>-1"
"Africa/Ceuta","CET-1CEST,M3.5.0,M10.5.0/3"
"Africa/Johannesburg-Maseru-Mbabane","SAST-2"
"Africa/Tripoli","EET-2"
"America/Adak-Atka","HST10HDT,M3.2.0,M11.1.0"
"America/Anchorage-Juneau-Metlakatla-Nome-Sitka-Yakutat","AKST9AKDT,M3.2.0,M11.1.0"
"America/Anguilla-Antigua-Aruba-Barbados-Blanc-Sablon-Curacao-Dominica-Grenada-Guadeloupe-Kralendijk-Lower_Princes-Marigot-Martinique-Montserrat-Port_of_Spain-Puerto_Rico-Santo_Domingo-St_Barthelemy-St_Kitts-St_Lucia-St_Thomas-St_Vincent-Tortola-Virgin","AST4"
"America/Araguaina-Asuncion-Bahia-Belem-Buenos_Aires-Catamarca-Cayenne-Cordoba-Coyhaique-Fortaleza-Jujuy-Maceio-Mendoza-Montevideo-Paramaribo-Punta_Arenas-Recife-Rosario-Santarem-Sao_Paulo","<-03>3"
"America/Atikokan-Cancun-Cayman-Coral_Harbour-Jamaica-Panama","EST5"
"America/Bahia_Banderas-Belize-Chihuahua-Costa_Rica-El_Salvador-Guatemala-Managua-Merida-Mexico_City-Monterrey-Regina-Swift_Current-Tegucigalpa","CST6"
"America/Boa_Vista-Campo_Grande-Caracas-Cuiaba-Guyana-La_Paz-Manaus-Porto_Velho","<-04>4"
"America/Bogota-Eirunepe-Guayaquil-Lima-Porto_Acre-Rio_Branco","<-05>5"
"America/Boise-Cambridge_Bay-Ciudad_Juarez-Denver-Edmonton-Inuvik-Shiprock-Yellowknife","MST7MDT,M3.2.0,M11.1.0"
"America/Chicago-Knox_IN-Matamoros-Menominee-Ojinaga-Rainy_River-Rankin_Inlet-Resolute-Winnipeg","CST6CDT,M3.2.0,M11.1.0"
"America/Creston-Dawson-Dawson_Creek-Fort_Nelson-Hermosillo-Mazatlan-Phoenix-Whitehorse","MST7"
"America/Danmarkshavn","GMT0"
"America/Detroit-Fort_Wayne-Grand_Turk-Indianapolis-Iqaluit-Louisville-Montreal-Nassau-New_York-Nipigon-Pangnirtung-Port-au-Prince-Thunder_Bay-Toronto","EST5EDT,M3.2.0,M11.1.0"
"America/Ensenada-Los_Angeles-Santa_Isabel-Tijuana-Vancouver","PST8PDT,M3.2.0,M11.1.0"
"America/Glace_Bay-Goose_Bay-Halifax-Moncton-Thule","AST4ADT,M3.2.0,M11.1.0"
"America/Godthab-Nuuk-Scoresbysund","<-02>2<-01>,M3.5.0/-1,M10.5.0/0"
"America/Havana","CST5CDT,M3.2.0/0,M11.1.0/1"
"America/Miquelon","<-03>3<-02>,M3.2.0,M11.1.0"
"America/Noronha","<-02>2"
"America/Santiago","<-04>4<-03>,M9.1.6/24,M4.1.6/24"
"America/St_Johns","NST3:30NDT,M3.2.0,M11.1.0"
"America/Argentina/Buenos_Aires-Catamarca-ComodRivadavia-Cordoba-Jujuy-La_Rioja-Mendoza-Rio_Gallegos-Salta-San_Juan-San_Luis-Tucuman-Ushuaia","<-03>3"
"America/Indiana/Indianapolis-Marengo-Petersburg-Vevay-Vincennes-Winamac","EST5EDT,M3.2.0,M11.1.0"
"America/Indiana/Knox-Tell_City","CST6CDT,M3.2.0,M11.1.0"
"America/Kentucky/Louisville-Monticello","EST5EDT,M3.2.0,M11.1.0"
"America/North_Dakota/Beulah-Center-New_Salem","CST6CDT,M3.2.0,M11.1.0"
"Antarctica/Casey","<+08>-8"
"Antarctica/Davis","<+07>-7"
"Antarctica/DumontDUrville","<+10>-10"
"Antarctica/Macquarie","AEST-10AEDT,M10.1.0,M4.1.0/3"
"Antarctica/Mawson-Vostok","<+05>-5"
"Antarctica/McMurdo-South_Pole","NZST-12NZDT,M9.5.0,M4.1.0/3"
"Antarctica/Palmer-Rothera","<-03>3"
"Antarctica/Syowa","<+03>-3"
"Antarctica/Troll","<+00>0<+02>-2,M3.5.0/1,M10.5.0/3"
"Arctic/Longyearbyen","CET-1CEST,M3.5.0,M10.5.0/3"
"Asia/Aden-Amman-Baghdad-Bahrain-Damascus-Istanbul-Kuwait-Qatar-Riyadh","<+03>-3"
"Asia/Almaty-Aqtau-Aqtobe-Ashgabat-Ashkhabad-Atyrau-Dushanbe-Oral-Qostanay-Qyzylorda-Samarkand-Tashkent-Yekaterinburg","<+05>-5"
"Asia/Anadyr-Kamchatka","<+12>-12"
"Asia/Baku-Dubai-Muscat-Tbilisi-Yerevan","<+04>-4"
"Asia/Bangkok-Barnaul-Ho_Chi_Minh-Hovd-Krasnoyarsk-Novokuznetsk-Novosibirsk-Phnom_Penh-Saigon-Tomsk-Vientiane","<+07>-7"
"Asia/Beirut","EET-2EEST,M3.5.0/0,M10.5.0/0"
"Asia/Bishkek-Dacca-Dhaka-Kashgar-Omsk-Thimbu-Thimphu-Urumqi","<+06>-6"
"Asia/Brunei-Choibalsan-Irkutsk-Kuala_Lumpur-Kuching-Singapore-Ulaanbaatar-Ulan_Bator","<+08>-8"
"Asia/Calcutta-Kolkata","IST-5:30"
"Asia/Chita-Dili-Khandyga-Yakutsk","<+09>-9"
"Asia/Chongqing-Chungking-Harbin-Macao-Macau-Shanghai-Taipei","CST-8"
"Asia/Colombo","<+0530>-5:30"
"Asia/Famagusta-Nicosia","EET-2EEST,M3.5.0/3,M10.5.0/4"
"Asia/Gaza-Hebron","EET-2EEST,M3.4.4/50,M10.4.4/50"
"Asia/Hong_Kong","HKT-8"
"Asia/Jakarta-Pontianak","WIB-7"
"Asia/Jayapura","WIT-9"
"Asia/Jerusalem-Tel_Aviv","IST-2IDT,M3.4.4/26,M10.5.0"
"Asia/Kabul","<+0430>-4:30"
"Asia/Karachi","PKT-5"
"Asia/Kathmandu-Katmandu","<+0545>-5:45"
"Asia/Magadan-Sakhalin-Srednekolymsk","<+11>-11"
"Asia/Makassar-Ujung_Pandang","WITA-8"
"Asia/Manila","PST-8"
"Asia/Pyongyang-Seoul","KST-9"
"Asia/Rangoon-Yangon","<+0630>-6:30"
"Asia/Tehran","<+0330>-3:30"
"Asia/Tokyo","JST-9"
"Asia/Ust-Nera-Vladivostok","<+10>-10"
"Atlantic/Azores","<-01>1<+00>,M3.5.0/0,M10.5.0/1"
"Atlantic/Bermuda","AST4ADT,M3.2.0,M11.1.0"
"Atlantic/Canary-Faeroe-Faroe-Madeira","WET0WEST,M3.5.0/1,M10.5.0"
"Atlantic/Cape_Verde","<-01>1"
"Atlantic/Jan_Mayen","CET-1CEST,M3.5.0,M10.5.0/3"
"Atlantic/Reykjavik-St_Helena","GMT0"
"Atlantic/South_Georgia","<-02>2"
"Atlantic/Stanley","<-03>3"
"Australia/ACT-Canberra-Currie-Hobart-Melbourne-NSW-Sydney-Tasmania-Victoria","AEST-10AEDT,M10.1.0,M4.1.0/3"
"Australia/Adelaide-Broken_Hill-South-Yancowinna","ACST-9:30ACDT,M10.1.0,M4.1.0/3"
"Australia/Brisbane-Lindeman-Queensland","AEST-10"
"Australia/Darwin-North","ACST-9:30"
"Australia/Eucla","<+0845>-8:45"
"Australia/LHI-Lord_Howe","<+1030>-10:30<+11>-11,M10.1.0,M4.1.0"
"Australia/Perth-West","AWST-8"
"Brazil/Acre","<-05>5"
"Brazil/DeNoronha","<-02>2"
"Brazil/East","<-03>3"
"Brazil/West","<-04>4"
"Canada/Atlantic","AST4ADT,M3.2.0,M11.1.0"
"Canada/Central","CST6CDT,M3.2.0,M11.1.0"
"Canada/Eastern","EST5EDT,M3.2.0,M11.1.0"
"Canada/Mountain","MST7MDT,M3.2.0,M11.1.0"
"Canada/Newfoundland","NST3:30NDT,M3.2.0,M11.1.0"
"Canada/Pacific","PST8PDT,M3.2.0,M11.1.0"
"Canada/Saskatchewan","CST6"
"Canada/Yukon","MST7"
"Chile/Continental","<-04>4<-03>,M9.1.6/24,M4.1.6/24"
"Chile/EasterIsland","<-06>6<-05>,M9.1.6/22,M4.1.6/22"
"Europe/Amsterdam-Andorra-Belgrade-Berlin-Bratislava-Brussels-Budapest-Busingen-Copenhagen-Gibraltar-Ljubljana-Luxembourg-Madrid-Malta-Monaco-Oslo-Paris-Podgorica-Prague-Rome-San_Marino-Sarajevo-Skopje-Stockholm-Tirane-Vaduz-Vatican-Vienna-Warsaw-Zagreb-Zurich","CET-1CEST,M3.5.0,M10.5.0/3"
"Europe/Astrakhan-Samara-Saratov-Ulyanovsk","<+04>-4"
"Europe/Athens-Bucharest-Helsinki-Kiev-Kyiv-Mariehamn-Nicosia-Riga-Sofia-Tallinn-Uzhgorod-Vilnius-Zaporozhye","EET-2EEST,M3.5.0/3,M10.5.0/4"
"Europe/Belfast-Guernsey-Isle_of_Man-Jersey-London","GMT0BST,M3.5.0/1,M10.5.0"
"Europe/Chisinau-Tiraspol","EET-2EEST,M3.5.0,M10.5.0/3"
"Europe/Dublin","IST-1GMT0,M10.5.0,M3.5.0/1"
"Europe/Istanbul-Minsk","<+03>-3"
"Europe/Kaliningrad","EET-2"
"Europe/Kirov-Moscow-Simferopol-Volgograd","MSK-3"
"Europe/Lisbon","WET0WEST,M3.5.0/1,M10.5.0"
"Indian/Antananarivo-Comoro-Mayotte","EAT-3"
"Indian/Chagos","<+06>-6"
"Indian/Christmas","<+07>-7"
"Indian/Cocos","<+0630>-6:30"
"Indian/Kerguelen-Maldives","<+05>-5"
"Indian/Mahe-Mauritius-Reunion","<+04>-4"
"Mexico/BajaNorte","PST8PDT,M3.2.0,M11.1.0"
"Mexico/BajaSur","MST7"
"Mexico/General","CST6"
"Pacific/Apia-Enderbury-Fakaofo-Kanton-Tongatapu","<+13>-13"
"Pacific/Auckland","NZST-12NZDT,M9.5.0,M4.1.0/3"
"Pacific/Bougainville-Efate-Guadalcanal-Kosrae-Noumea-Pohnpei-Ponape","<+11>-11"
"Pacific/Chatham","<+1245>-12:45<+1345>,M9.5.0/2:45,M4.1.0/3:45"
"Pacific/Chuuk-Port_Moresby-Truk-Yap","<+10>-10"
"Pacific/Easter","<-06>6<-05>,M9.1.6/22,M4.1.6/22"
"Pacific/Fiji-Funafuti-Kwajalein-Majuro-Nauru-Tarawa-Wake-Wallis","<+12>-12"
"Pacific/Galapagos","<-06>6"
"Pacific/Gambier","<-09>9"
"Pacific/Guam-Saipan","ChST-10"
"Pacific/Honolulu-Johnston","HST10"
"Pacific/Kiritimati","<+14>-14"
"Pacific/Marquesas","<-0930>9:30"
"Pacific/Midway-Pago_Pago-Samoa","SST11"
"Pacific/Niue","<-11>11"
"Pacific/Norfolk","<+11>-11<+12>,M10.1.0,M4.1.0/3"
"Pacific/Palau","<+09>-9"
"Pacific/Pitcairn","<-08>8"
"Pacific/Rarotonga-Tahiti","<-10>10"
"US/Alaska","AKST9AKDT,M3.2.0,M11.1.0"
"US/Aleutian","HST10HDT,M3.2.0,M11.1.0"
"US/Arizona","MST7"
"US/Central-Indiana-Starke","CST6CDT,M3.2.0,M11.1.0"
"US/East-Indiana-Eastern-Michigan","EST5EDT,M3.2.0,M11.1.0"
"US/Hawaii","HST10"
"US/Mountain","MST7MDT,M3.2.0,M11.1.0"
"US/Pacific","PST8PDT,M3.2.0,M11.1.0"
"US/Samoa","SST11"
"Etc/GMT-GMT-0-GMT0-GMT+0-Greenwich","GMT0"
"Etc/GMT-14","<+14>-14"
"Etc/GMT-13","<+13>-13"
"Etc/GMT-12","<+12>-12"
"Etc/GMT-11","<+11>-11"
"Etc/GMT-10","<+10>-10"
"Etc/GMT-9","<+09>-9"
"Etc/GMT-8","<+08>-8"
"Etc/GMT-7","<+07>-7"
"Etc/GMT-6","<+06>-6"
"Etc/GMT-5","<+05>-5"
"Etc/GMT-4","<+04>-4"
"Etc/GMT-3","<+03>-3"
"Etc/GMT-2","<+02>-2"
"Etc/GMT-1","<+01>-1"
"Etc/GMT+1","<-01>1"
"Etc/GMT+2","<-02>2"
"Etc/GMT+3","<-03>3"
"Etc/GMT+4","<-04>4"
"Etc/GMT+5","<-05>5"
"Etc/GMT+6","<-06>6"
"Etc/GMT+7","<-07>7"
"Etc/GMT+8","<-08>8"
"Etc/GMT+9","<-09>9"
"Etc/GMT+10","<-10>10"
"Etc/GMT+11","<-11>11"
"Etc/GMT+12","<-12>12"
"Etc/UCT-UTC-Universal-Zulu","UTC0"
